"product_category_name","total_revenue"
"fashion_calcados","1346.20"
"fashion_esporte","545.07"
"fashion_esporte","317.12"
"fashion_esporte","238.70"
"fashion_roupa_feminina","341.40"
"fashion_roupa_feminina","314.80"
"fashion_roupa_feminina","297.15"
"fashion_roupa_infanto_juvenil","204.54"
"fashion_roupa_infanto_juvenil","150.65"
"fashion_roupa_infanto_juvenil","124.52"
"fashion_roupa_masculina","972.80"
"fashion_roupa_masculina","786.70"
"fashion_roupa_masculina","362.25"
"fashion_underwear_e_moda_praia","1125.96"
"fashion_underwear_e_moda_praia","849.39"
"fashion_underwear_e_moda_praia","715.33"
"ferramentas_jardim","34201.26"
"ferramentas_jardim","28682.68"
"ferramentas_jardim","27984.40"
"flores","410.74"
"flores","285.82"
"flores","145.81"
"fraldas_higiene","532.76"
"fraldas_higiene","463.48"
"fraldas_higiene","239.91"
"industria_comercio_e_negocios","5349.13"
"industria_comercio_e_negocios","4012.53"
"industria_comercio_e_negocios","3406.47"
"informatica_acessorios","60976.03"
"informatica_acessorios","48212.22"
"informatica_acessorios","18409.72"
"instrumentos_musicais","26630.15"
"instrumentos_musicais","8842.06"
"instrumentos_musicais","8184.82"
"la_cuisine","471.42"
"la_cuisine","426.70"
"la_cuisine","297.94"
"livros_importados","804.96"
"livros_importados","624.22"
"livros_importados","608.19"
"livros_interesse_geral","7769.69"
"livros_interesse_geral","6126.48"
"livros_interesse_geral","4862.29"
"livros_tecnicos","3134.47"
"livros_tecnicos","2472.01"
"livros_tecnicos","1111.62"
"malas_acessorios","18135.93"
"malas_acessorios","10128.17"
"malas_acessorios","9140.72"
"market_place","2164.47"
"market_place","2111.57"
"market_place","1933.10"
"moveis_colchao_e_estofado","2788.74"
"moveis_colchao_e_estofado","606.13"
"moveis_colchao_e_estofado","482.69"
"moveis_colchao_e_estofado","482.69"
"moveis_cozinha_area_de_servico_jantar_e_jardim","7830.37"
"moveis_cozinha_area_de_servico_jantar_e_jardim","4204.49"
"moveis_cozinha_area_de_servico_jantar_e_jardim","2414.08"
"moveis_decoracao","44820.76"
"moveis_decoracao","18273.08"
"moveis_decoracao","12027.12"
"moveis_escritorio","16971.94"
"moveis_escritorio","11810.90"
"moveis_escritorio","10262.53"
"moveis_quarto","4441.14"
"moveis_quarto","2024.77"
"moveis_quarto","1825.19"
"moveis_sala","4422.36"
"moveis_sala","4194.84"
"moveis_sala","3546.14"
"musica","1393.95"
"musica","1244.12"
"musica","781.51"
"papelaria","10751.93"
"papelaria","8384.55"
"papelaria","6207.14"
"pc_gamer","734.09"
"pc_gamer","696.01"
"pc_gamer","249.42"
"pcs","50326.18"
"pcs","29080.21"
"pcs","22411.02"
"perfumaria","14263.87"
"perfumaria","12829.09"
"perfumaria","9525.10"
"pet_shop","5322.88"
"pet_shop","4757.10"
"pet_shop","3546.29"
"portateis_casa_forno_e_cafe","15722.55"
"portateis_casa_forno_e_cafe","13625.64"
"portateis_casa_forno_e_cafe","6292.85"
"portateis_cozinha_e_preparadores_de_alimentos","3185.58"
"portateis_cozinha_e_preparadores_de_alimentos","545.51"
"portateis_cozinha_e_preparadores_de_alimentos","117.20"
"relogios_presentes","39957.93"
"relogios_presentes","35344.09"
"relogios_presentes","33607.57"
"seguros_e_servicos","209.06"
"seguros_e_servicos","115.45"
"sinalizacao_e_seguranca","2844.96"
"sinalizacao_e_seguranca","2378.36"
"sinalizacao_e_seguranca","1806.55"
"tablets_impressao_imagem","2993.22"
"tablets_impressao_imagem","1946.28"
"tablets_impressao_imagem","1805.32"
"telefonia","18542.22"
"telefonia","15966.71"
"telefonia","11990.79"
"telefonia_fixa","13664.08"
"telefonia_fixa","10633.12"
"telefonia_fixa","4257.31"
"utilidades_domesticas","15621.16"
"utilidades_domesticas","14258.97"
"utilidades_domesticas","11425.17"
NULL,"27286.05"
NULL,"10223.82"
NULL,"7689.86"
